"Chamber","TOD","Time","Microhabitat","Sex","Count"
"12","AFTERNOON",6,"Sand","M",0
"12","AFTERNOON",6,"Sertulariidae","M",1
"13","AFTERNOON",6,"Hydrallmania","M",2
"13","AFTERNOON",6,"Red_Algae","M",0
"13","AFTERNOON",6,"Sand","M",1
"13","AFTERNOON",6,"Sertulariidae","M",0
"14","AFTERNOON",6,"Hydrallmania","M",2
"14","AFTERNOON",6,"Red_Algae","M",1
"14","AFTERNOON",6,"Sand","M",0
"14","AFTERNOON",6,"Sertulariidae","M",0
"15","AFTERNOON",6,"Hydrallmania","F",2
"15","AFTERNOON",6,"Red_Algae","F",0
"15","AFTERNOON",6,"Sand","F",0
"15","AFTERNOON",6,"Sertulariidae","F",1
"16","AFTERNOON",6,"Hydrallmania","F",0
"16","AFTERNOON",6,"Red_Algae","F",1
"16","AFTERNOON",6,"Sand","F",0
"16","AFTERNOON",6,"Sertulariidae","F",2
"17","AFTERNOON",6,"Hydrallmania","F",1
"17","AFTERNOON",6,"Red_Algae","F",1
"17","AFTERNOON",6,"Sand","F",0
"17","AFTERNOON",6,"Sertulariidae","F",1
"18","AFTERNOON",6,"Hydrallmania","F",2
"18","AFTERNOON",6,"Red_Algae","F",1
"18","AFTERNOON",6,"Sand","F",0
"18","AFTERNOON",6,"Sertulariidae","F",0
"19","AFTERNOON",6,"Hydrallmania","F",1
"19","AFTERNOON",6,"Red_Algae","F",1
"19","AFTERNOON",6,"Sand","F",0
"19","AFTERNOON",6,"Sertulariidae","F",1
"1","NIGHT",8,"Hydrallmania","M",3
"1","NIGHT",8,"Red_Algae","M",0
"1","NIGHT",8,"Sand","M",0
"1","NIGHT",8,"Sertulariidae","M",0
"2","NIGHT",8,"Hydrallmania","M",1
"2","NIGHT",8,"Red_Algae","M",2
"2","NIGHT",8,"Sand","M",0
"2","NIGHT",8,"Sertulariidae","M",0
"3","NIGHT",8,"Hydrallmania","M",0
"3","NIGHT",8,"Red_Algae","M",1
"3","NIGHT",8,"Sand","M",2
"3","NIGHT",8,"Sertulariidae","M",0
"4","NIGHT",8,"Hydrallmania","M",2
"4","NIGHT",8,"Red_Algae","M",0
"4","NIGHT",8,"Sand","M",0
"4","NIGHT",8,"Sertulariidae","M",0
"5","NIGHT",8,"Hydrallmania","M",1
"5","NIGHT",8,"Red_Algae","M",0
"5","NIGHT",8,"Sand","M",1
"5","NIGHT",8,"Sertulariidae","M",1
"6","NIGHT",8,"Hydrallmania","M",1
"6","NIGHT",8,"Red_Algae","M",2
"6","NIGHT",8,"Sand","M",0
"6","NIGHT",8,"Sertulariidae","M",0
"7","NIGHT",8,"Hydrallmania","M",2
"7","NIGHT",8,"Red_Algae","M",0
"7","NIGHT",8,"Sand","M",0
"7","NIGHT",8,"Sertulariidae","M",1
"8","NIGHT",8,"Hydrallmania","M",1
"8","NIGHT",8,"Red_Algae","M",1
"8","NIGHT",8,"Sand","M",0
"8","NIGHT",8,"Sertulariidae","M",0
"9","NIGHT",8,"Hydrallmania","M",2
"9","NIGHT",8,"Red_Algae","M",0
"9","NIGHT",8,"Sand","M",0
"9","NIGHT",8,"Sertulariidae","M",1
"10","NIGHT",8,"Hydrallmania","M",1
"10","NIGHT",8,"Red_Algae","M",1
"10","NIGHT",8,"Sand","M",0
"10","NIGHT",8,"Sertulariidae","M",1
"11","NIGHT",8,"Hydrallmania","M",0
"11","NIGHT",8,"Red_Algae","M",2
"11","NIGHT",8,"Sand","M",0
"11","NIGHT",8,"Sertulariidae","M",1
"12","NIGHT",8,"Hydrallmania","M",2
"12","NIGHT",8,"Red_Algae","M",0
"12","NIGHT",8,"Sand","M",0
"12","NIGHT",8,"Sertulariidae","M",1
"13","NIGHT",8,"Hydrallmania","M",2
"13","NIGHT",8,"Red_Algae","M",0
"13","NIGHT",8,"Sand","M",1
"13","NIGHT",8,"Sertulariidae","M",0
"14","NIGHT",8,"Hydrallmania","M",2
"14","NIGHT",8,"Red_Algae","M",1
"14","NIGHT",8,"Sand","M",0
"14","NIGHT",8,"Sertulariidae","M",0
"15","NIGHT",8,"Hydrallmania","F",2
"15","NIGHT",8,"Red_Algae","F",0
"15","NIGHT",8,"Sand","F",0
"15","NIGHT",8,"Sertulariidae","F",1
"16","NIGHT",8,"Hydrallmania","F",0
"16","NIGHT",8,"Red_Algae","F",1
"16","NIGHT",8,"Sand","F",0
"16","NIGHT",8,"Sertulariidae","F",2
"17","NIGHT",8,"Hydrallmania","F",1
"17","NIGHT",8,"Red_Algae","F",1
"17","NIGHT",8,"Sand","F",1
"17","NIGHT",8,"Sertulariidae","F",0
"18","NIGHT",8,"Hydrallmania","F",2
"18","NIGHT",8,"Red_Algae","F",1
"18","NIGHT",8,"Sand","F",0
"18","NIGHT",8,"Sertulariidae","F",0
"19","NIGHT",8,"Hydrallmania","F",1
"19","NIGHT",8,"Red_Algae","F",1
"19","NIGHT",8,"Sand","F",0
"19","NIGHT",8,"Sertulariidae","F",1
"1","NIGHT",10,"Hydrallmania","M",0
"1","NIGHT",10,"Red_Algae","M",3
"1","NIGHT",10,"Sand","M",0
"1","NIGHT",10,"Sertulariidae","M",0
"2","NIGHT",10,"Hydrallmania","M",0
"2","NIGHT",10,"Red_Algae","M",1
"2","NIGHT",10,"Sand","M",0
"2","NIGHT",10,"Sertulariidae","M",2
"3","NIGHT",10,"Hydrallmania","M",0
"3","NIGHT",10,"Red_Algae","M",1
"3","NIGHT",10,"Sand","M",2
"3","NIGHT",10,"Sertulariidae","M",0
"4","NIGHT",10,"Hydrallmania","M",2
"4","NIGHT",10,"Red_Algae","M",0
"4","NIGHT",10,"Sand","M",0
"4","NIGHT",10,"Sertulariidae","M",0
"5","NIGHT",10,"Hydrallmania","M",0
"5","NIGHT",10,"Red_Algae","M",1
"5","NIGHT",10,"Sand","M",1
"5","NIGHT",10,"Sertulariidae","M",1
"6","NIGHT",10,"Hydrallmania","M",1
"6","NIGHT",10,"Red_Algae","M",2
"6","NIGHT",10,"Sand","M",0
"6","NIGHT",10,"Sertulariidae","M",0
"7","NIGHT",10,"Hydrallmania","M",1
"7","NIGHT",10,"Red_Algae","M",1
"7","NIGHT",10,"Sand","M",0
"7","NIGHT",10,"Sertulariidae","M",1
"8","NIGHT",10,"Hydrallmania","M",1
"8","NIGHT",10,"Red_Algae","M",1
"8","NIGHT",10,"Sand","M",0
"8","NIGHT",10,"Sertulariidae","M",0
"9","NIGHT",10,"Hydrallmania","M",2
"9","NIGHT",10,"Red_Algae","M",0
"9","NIGHT",10,"Sand","M",0
"9","NIGHT",10,"Sertulariidae","M",1
"10","NIGHT",10,"Hydrallmania","M",0
"10","NIGHT",10,"Red_Algae","M",1
"10","NIGHT",10,"Sand","M",0
"10","NIGHT",10,"Sertulariidae","M",1
"11","NIGHT",10,"Hydrallmania","M",1
"11","NIGHT",10,"Red_Algae","M",1
"11","NIGHT",10,"Sand","M",0
"11","NIGHT",10,"Sertulariidae","M",0
"12","NIGHT",10,"Hydrallmania","M",2
"12","NIGHT",10,"Red_Algae","M",0
"12","NIGHT",10,"Sand","M",0
"12","NIGHT",10,"Sertulariidae","M",1
"13","NIGHT",10,"Hydrallmania","M",2
"13","NIGHT",10,"Red_Algae","M",0
"13","NIGHT",10,"Sand","M",1
"13","NIGHT",10,"Sertulariidae","M",0
"14","NIGHT",10,"Hydrallmania","M",2
"14","NIGHT",10,"Red_Algae","M",1
"14","NIGHT",10,"Sand","M",0
"14","NIGHT",10,"Sertulariidae","M",0
"15","NIGHT",10,"Hydrallmania","F",2
"15","NIGHT",10,"Red_Algae","F",0
"15","NIGHT",10,"Sand","F",0
"15","NIGHT",10,"Sertulariidae","F",1
"16","NIGHT",10,"Hydrallmania","F",0
"16","NIGHT",10,"Red_Algae","F",1
"16","NIGHT",10,"Sand","F",0
"16","NIGHT",10,"Sertulariidae","F",2
"17","NIGHT",10,"Hydrallmania","F",1
"17","NIGHT",10,"Red_Algae","F",1
"17","NIGHT",10,"Sand","F",1
"17","NIGHT",10,"Sertulariidae","F",0
"18","NIGHT",10,"Hydrallmania","F",2
"18","NIGHT",10,"Red_Algae","F",1
"18","NIGHT",10,"Sand","F",0
"18","NIGHT",10,"Sertulariidae","F",0
"19","NIGHT",10,"Hydrallmania","F",1
"19","NIGHT",10,"Red_Algae","F",1
"19","NIGHT",10,"Sand","F",0
"19","NIGHT",10,"Sertulariidae","F",1
"1","NIGHT",12,"Hydrallmania","M",0
"1","NIGHT",12,"Red_Algae","M",3
"1","NIGHT",12,"Sand","M",0
"1","NIGHT",12,"Sertulariidae","M",0
"2","NIGHT",12,"Hydrallmania","M",0
"2","NIGHT",12,"Red_Algae","M",1
"2","NIGHT",12,"Sand","M",1
"2","NIGHT",12,"Sertulariidae","M",1
"3","NIGHT",12,"Hydrallmania","M",0
"3","NIGHT",12,"Red_Algae","M",1
"3","NIGHT",12,"Sand","M",1
"3","NIGHT",12,"Sertulariidae","M",1
"4","NIGHT",12,"Hydrallmania","M",2
"4","NIGHT",12,"Red_Algae","M",0
"4","NIGHT",12,"Sand","M",0
"4","NIGHT",12,"Sertulariidae","M",0
"5","NIGHT",12,"Hydrallmania","M",0
"5","NIGHT",12,"Red_Algae","M",1
"5","NIGHT",12,"Sand","M",1
"5","NIGHT",12,"Sertulariidae","M",1
"6","NIGHT",12,"Hydrallmania","M",1
"6","NIGHT",12,"Red_Algae","M",2
"6","NIGHT",12,"Sand","M",0
"6","NIGHT",12,"Sertulariidae","M",0
"7","NIGHT",12,"Hydrallmania","M",0
"7","NIGHT",12,"Red_Algae","M",2
"7","NIGHT",12,"Sand","M",0
"7","NIGHT",12,"Sertulariidae","M",1
"8","NIGHT",12,"Hydrallmania","M",1
"8","NIGHT",12,"Red_Algae","M",1
"8","NIGHT",12,"Sand","M",0
"8","NIGHT",12,"Sertulariidae","M",0
"9","NIGHT",12,"Hydrallmania","M",2
"9","NIGHT",12,"Red_Algae","M",0
"9","NIGHT",12,"Sand","M",0
"9","NIGHT",12,"Sertulariidae","M",1
"10","NIGHT",12,"Hydrallmania","M",0
"10","NIGHT",12,"Red_Algae","M",1
"10","NIGHT",12,"Sand","M",0
"10","NIGHT",12,"Sertulariidae","M",1
"11","NIGHT",12,"Hydrallmania","M",0
"11","NIGHT",12,"Red_Algae","M",1
"11","NIGHT",12,"Sand","M",0
"11","NIGHT",12,"Sertulariidae","M",0
"12","NIGHT",12,"Hydrallmania","M",2
"12","NIGHT",12,"Red_Algae","M",0
"12","NIGHT",12,"Sand","M",0
"12","NIGHT",12,"Sertulariidae","M",1
"13","NIGHT",12,"Hydrallmania","M",2
"13","NIGHT",12,"Red_Algae","M",1
"13","NIGHT",12,"Sand","M",0
"13","NIGHT",12,"Sertulariidae","M",0
"14","NIGHT",12,"Hydrallmania","M",2
"14","NIGHT",12,"Red_Algae","M",1
"14","NIGHT",12,"Sand","M",0
"14","NIGHT",12,"Sertulariidae","M",0
"15","NIGHT",12,"Hydrallmania","F",2
"15","NIGHT",12,"Red_Algae","F",0
"15","NIGHT",12,"Sand","F",0
"15","NIGHT",12,"Sertulariidae","F",1
"16","NIGHT",12,"Hydrallmania","F",1
"16","NIGHT",12,"Red_Algae","F",1
"16","NIGHT",12,"Sand","F",0
"16","NIGHT",12,"Sertulariidae","F",1
"17","NIGHT",12,"Hydrallmania","F",1
"17","NIGHT",12,"Red_Algae","F",2
"17","NIGHT",12,"Sand","F",0
"17","NIGHT",12,"Sertulariidae","F",0
"18","NIGHT",12,"Hydrallmania","F",1
"18","NIGHT",12,"Red_Algae","F",2
"18","NIGHT",12,"Sand","F",0
"18","NIGHT",12,"Sertulariidae","F",0
"19","NIGHT",12,"Hydrallmania","F",0
"19","NIGHT",12,"Red_Algae","F",2
"19","NIGHT",12,"Sand","F",0
"19","NIGHT",12,"Sertulariidae","F",1
"1","NIGHT",14,"Hydrallmania","M",1
"1","NIGHT",14,"Red_Algae","M",1
"1","NIGHT",14,"Sand","M",0
"1","NIGHT",14,"Sertulariidae","M",1
"2","NIGHT",14,"Hydrallmania","M",1
"2","NIGHT",14,"Red_Algae","M",1
"2","NIGHT",14,"Sand","M",0
"2","NIGHT",14,"Sertulariidae","M",1
"3","NIGHT",14,"Hydrallmania","M",0
"3","NIGHT",14,"Red_Algae","M",1
"3","NIGHT",14,"Sand","M",1
"3","NIGHT",14,"Sertulariidae","M",1
"4","NIGHT",14,"Hydrallmania","M",2
"4","NIGHT",14,"Red_Algae","M",0
"4","NIGHT",14,"Sand","M",0
"4","NIGHT",14,"Sertulariidae","M",0
"5","NIGHT",14,"Hydrallmania","M",0
"5","NIGHT",14,"Red_Algae","M",1
"5","NIGHT",14,"Sand","M",1
"5","NIGHT",14,"Sertulariidae","M",1
"6","NIGHT",14,"Hydrallmania","M",1
"6","NIGHT",14,"Red_Algae","M",2
"6","NIGHT",14,"Sand","M",0
"6","NIGHT",14,"Sertulariidae","M",0
"7","NIGHT",14,"Hydrallmania","M",0
"7","NIGHT",14,"Red_Algae","M",2
"7","NIGHT",14,"Sand","M",0
"7","NIGHT",14,"Sertulariidae","M",1
"8","NIGHT",14,"Hydrallmania","M",1
"8","NIGHT",14,"Red_Algae","M",1
"8","NIGHT",14,"Sand","M",0
"8","NIGHT",14,"Sertulariidae","M",0
"9","NIGHT",14,"Hydrallmania","M",2
"9","NIGHT",14,"Red_Algae","M",0
"9","NIGHT",14,"Sand","M",0
"9","NIGHT",14,"Sertulariidae","M",1
"10","NIGHT",14,"Hydrallmania","M",0
"10","NIGHT",14,"Red_Algae","M",1
"10","NIGHT",14,"Sand","M",0
"10","NIGHT",14,"Sertulariidae","M",1
"11","NIGHT",14,"Hydrallmania","M",0
"11","NIGHT",14,"Red_Algae","M",0
"11","NIGHT",14,"Sand","M",0
"11","NIGHT",14,"Sertulariidae","M",1
"12","NIGHT",14,"Hydrallmania","M",2
"12","NIGHT",14,"Red_Algae","M",0
"12","NIGHT",14,"Sand","M",0
"12","NIGHT",14,"Sertulariidae","M",1
"13","NIGHT",14,"Hydrallmania","M",2
"13","NIGHT",14,"Red_Algae","M",1
"13","NIGHT",14,"Sand","M",0
"13","NIGHT",14,"Sertulariidae","M",0
"14","NIGHT",14,"Hydrallmania","M",2
"14","NIGHT",14,"Red_Algae","M",1
